,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON,FINESS
0,20000,(ICO) Institut de Cancérologie de l'Ouest - Centre Paul Papin,rue André Boquel 15,Angers,Pays De La Loire,49100,,,,,,,47.4836332,-0.5565815,491931237
1,20001,A.U.R.A. Auvergne Dialyse,,Chamalières,Auvergne-rhône-alpes,63400,,,,,,,45.7794328,3.0497259,631931237
2,20002,ARGOS,,Strasbourg,Grand Est,67000,,,,,,,48.5746199,7.74461,671931237
3,20003,Abri Montagnard,,Borce,Nouvelle-aquitaine,64490,,,,,,,42.991559,-0.59979,641931237
4,20004,Abri Montagnard,,Borce,Nouvelle-aquitaine,64490,,,,,,,43.00044,-0.624863,641931237
5,20005,Allée des Dryades,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9107463,4.8894999,261931237
6,20006,American Memorial Hospital,,Reims,Grand Est,51100,,,,,,,49.2310785,4.0175041,511931237
7,20007,Ancien Hopital de Monbran (fermé),,Colayrac-Saint-Cirq,Nouvelle-aquitaine,47450,,,,,,,44.2331905,0.6009845,471931237
8,20008,Ancien Hôpital,,Le Lorrain,,97214,,,,,,,14.8346374,-61.0575732,971931237
9,20009,Ancien hôpital,Rue Maître Georges Lefêvre nan,,,,,,,,,,46.7828865,-56.1727707,751931237
10,20010,Ancien hôtel-Dieu,,L'Isle-sur-la-Sorgue,Provence-alpes-côte D'azur,84800,,,,,,,43.9197151,5.0490016,841931237
11,20011,Ancienne Clinique Fardeau,,,Provence-alpes-côte D'azur,,,,,,No,,47.25308,-0.083139,751931237
12,20012,Anciens Hôpitaux Maringer Villemin Fournier,,Nancy,Grand Est,54000,,,,,,,48.6775166,6.1888116,541931237
13,20013,Antenne medico-psychologique,,,Grand Est,,,,,,,,-20.5588743,164.2804961,751931237
14,20014,Arnault Tzanck Mougins,,Mougins,Provence-alpes-côte D'azur,06250,,+33 4 97 16 68 00,,,,,43.6078282,7.0115289,061931237
15,20015,Association Audoise Sociale et Médicale,,Limoux,Occitanie,11300,,,,,No,,43.0558555,2.2202385,111931237
16,20016,Aura,,Paris,Île-de-france,75014,,,,,No,,48.8294695,2.3104442,751931237
17,20017,Automne en Aspe,,Borce,Nouvelle-aquitaine,64490,,,,,,,42.995011,-0.614661,641931237
18,20018,Avenue du Docteur Santy,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9149623,4.9080471,261931237
19,20019,Bercail Saint-Denis,,Héricourt-en-Caux,Normandie,76560,,,,,,,49.700301,0.7106935,761931237
20,20020,Biologie du cancer,,Paris,Île-de-france,75005,,,,,,,48.8442219,2.3431408,751931237
21,20021,Boulevard Franklin Roosevelt,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9123072,4.9087127,261931237
22,20022,Boulevard du Maréchal Juin,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9120235,4.9077377,261931237
23,20023,Boulevard du Maréchal Juin,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9117857,4.9057837,261931237
24,20024,Boulevard du Maréchal Juin,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9116889,4.9055168,261931237
25,20025,Boulevard du Maréchal Juin,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9121338,4.9084546,261931237
26,20026,Boulevard du Maréchal Juin,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9122428,4.9086393,261931237
27,20027,Boulevard du Maréchal Juin,,Valence,Auvergne-rhône-alpes,26000,,,,,,,44.9118162,4.9063751,261931237
